"#","Germplasm","Species","Bloom_Date","Dataset"
"1","Summit","Prunus avium","4/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"2","Summit","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"3","Lambert","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"4","Lambert","Prunus avium","4/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"5","Regina","Prunus avium","4/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"6","Regina","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"7","Ambrunes","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"8","Ambrunes","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"9","Lapins","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"10","Lapins","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"11","Stella","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"12","Sweetheart","Prunus avium","3/31/2010","Sweet_cherry_CRS_phenotyping_2010"
"13","Sweetheart","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"14","Sweetheart","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"15","Van","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"16","Van","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"17","Schneiders","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"18","Schneiders","Prunus avium","4/25/2011","Sweet_cherry_CRS_phenotyping_2011"
"19","Bing","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"20","Bing","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"21","Rainier","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"22","Rainier","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"23","Rainier","Prunus avium","4/2/2010","Sweet_cherry_CRS_phenotyping_2010"
"24","Benton","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"25","Benton","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"26","Cashmere","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"27","Cashmere","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"28","Chelan","Prunus avium","3/30/2010","Sweet_cherry_CRS_phenotyping_2010"
"29","Chelan","Prunus avium","4/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"30","Chelan","Prunus avium","4/13/2012","Sweet_cherry_CRS_phenotyping_2012"
"31","Chinook","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"32","Cowiche","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"33","Cowiche","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"34","Gil Peck","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"35","Glacier","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"36","Glacier","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"37","Glacier","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"38","Kiona","Prunus avium","4/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"39","Kiona","Prunus avium","4/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"40","Kiona","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"41","NY 54","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"42","NY 54","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"43","PMR-1","Prunus avium","4/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"44","PMR-1","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"45","PMR-1","Prunus avium","4/23/2011","Sweet_cherry_CRS_phenotyping_2011"
"46","Schmidt","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"47","Schmidt","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"48","Selah","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"49","Selah","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"50","Tieton","Prunus avium","3/31/2010","Sweet_cherry_CRS_phenotyping_2010"
"51","Tieton","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"52","Tieton","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"53","Vic","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"54","Vic","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"55","Windsor","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"56","Kordia","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"57","Kordia","Prunus avium","4/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"58","FR1T068","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"59","FR1T068","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"60","FR1T068","Prunus avium","4/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"61","FR12T078","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"62","FR12T078","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"63","FR8T012","Prunus avium","4/13/2011","Sweet_cherry_CRS_phenotyping_2011"
"64","FR8T012","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"65","FR12T081","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"66","FR12T081","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"67","FR28T002","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"68","FR1T036","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"69","FR1T036","Prunus avium","4/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"70","FR1T074","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"71","FR1T074","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"72","FR1T074","Prunus avium","4/8/2010","Sweet_cherry_CRS_phenotyping_2010"
"73","FR2T063","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"74","FR2T030","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"75","FR2T030","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"76","FR2T030","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"77","FR14T012","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"78","FR3T070","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"79","FR3T070","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"80","FR3T070","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"81","FR1T035","Prunus avium","4/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"82","FR1T035","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"83","FR1T035","Prunus avium","4/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"84","FR1T066","Prunus avium","4/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"85","FR1T066","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"86","FR1T066","Prunus avium","4/25/2011","Sweet_cherry_CRS_phenotyping_2011"
"87","FR1T069","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"88","FR1T069","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"89","FR1T069","Prunus avium","4/9/2010","Sweet_cherry_CRS_phenotyping_2010"
"90","FR2T058","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"91","FR2T058","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"92","FR2T058","Prunus avium","4/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"93","FR14T100","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"94","FR14T100","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"95","FR21T040","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"96","FR31T016","Prunus avium","4/24/2012","Sweet_cherry_CRS_phenotyping_2012"
"97","FR23T097","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"98","FR27T018","Prunus avium","4/21/2011","Sweet_cherry_CRS_phenotyping_2011"
"99","FR27T018","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"100","FR28T001","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"101","FR28T100","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"102","FR28T100","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"103","FR28T101","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"104","FR28T101","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"105","FR28T102","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"106","FR28T104","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"107","FR28T104","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"108","FR28T105","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"109","FR28T105","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"110","FR28T106","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"111","FR28T106","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T107","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"113","FR28T107","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T108","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"115","FR28T108","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"116","FR29T074","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"117","FR29T075","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"118","FR29T075","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"119","FR29T076","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"120","FR29T077","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"121","FR29T077","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"122","FR10T098","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"123","FR10T099","Prunus avium","4/24/2012","Sweet_cherry_CRS_phenotyping_2012"
"124","FR10T099","Prunus avium","4/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"125","FR10T101","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"126","FR10T101","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"127","FR11T015","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"128","FR11T015","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"129","FR11T016","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"130","FR11T016","Prunus avium","4/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"131","FR11T018","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"132","FR11T019","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"133","FR11T019","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"134","FR11T025","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"135","FR11T025","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"136","FR11T026","Prunus avium","4/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"137","FR11T027","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"138","FR11T027","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"139","FR11T028","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"140","FR11T028","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"141","FR11T029","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"142","FR11T029","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T030","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"144","FR11T032","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"145","FR11T032","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"146","FR12T001","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"147","FR12T001","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"148","FR12T003","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"149","FR12T004","Prunus avium","4/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"150","FR12T004","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"151","FR12T006","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"152","FR12T006","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"153","FR12T009","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"154","FR12T009","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"155","FR12T011","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"156","FR12T012","Prunus avium","4/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"157","FR12T012","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"158","FR12T056","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"159","FR12T056","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"160","FR12T057","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"161","FR12T058","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"162","FR12T058","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"163","FR12T063","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"164","FR12T063","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T066","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"166","FR12T066","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"167","FR12T067","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"168","FR12T067","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"169","FR12T068","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"170","FR12T068","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"171","FR12T069","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"172","FR12T071","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"173","FR12T071","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"174","FR12T072","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"175","FR12T072","Prunus avium","4/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T073","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"177","FR12T073","Prunus avium","4/14/2012","Sweet_cherry_CRS_phenotyping_2012"
"178","FR12T074","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"179","FR12T076","Prunus avium","4/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"180","FR12T076","Prunus avium","4/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"181","FR12T077","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"182","FR12T077","Prunus avium","4/15/2012","Sweet_cherry_CRS_phenotyping_2012"
"183","FR12T077","Prunus avium","4/3/2010","Sweet_cherry_CRS_phenotyping_2010"
"184","FR12T080","Prunus avium","4/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"185","FR12T080","Prunus avium","4/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"186","FR12T091","Prunus avium","4/15/2011","Sweet_cherry_CRS_phenotyping_2011"
"187","FR12T091","Prunus avium","4/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"188","FR12T093","Prunus avium","4/19/2011","Sweet_cherry_CRS_phenotyping_2011"
"189","FR12T093","Prunus avium","4/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"190","FR12T094","Prunus avium","4/19/2012","Sweet_cherry_CRS_phenotyping_2012"
"191","FR13T058","Prunus avium","4/16/2011","Sweet_cherry_CRS_phenotyping_2011"
"192","FR13T058","Prunus avium","4/17/2012","Sweet_cherry_CRS_phenotyping_2012"
