"#","Germplasm","Species","Pit_Lh","Dataset"
"649","FR9T096","Prunus avium","11.78","Sweet_cherry_CRS_phenotyping_2012"
"650","FR9T097","Prunus avium","11.31","Sweet_cherry_CRS_phenotyping_2011"
"651","FR9T097","Prunus avium","12.06","Sweet_cherry_CRS_phenotyping_2012"
"652","FR9T098","Prunus avium","10.53","Sweet_cherry_CRS_phenotyping_2012"
"653","FR9T098","Prunus avium","12.64","Sweet_cherry_CRS_phenotyping_2011"
"654","PC 9816-005","Prunus avium","10.54","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-023","Prunus avium","11.55","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-041","Prunus avium","11.49","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9816-059","Prunus avium","11.48","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9816-083","Prunus avium","11.22","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9816-103","Prunus avium","11.27","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9816-105","Prunus avium","10.64","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9816-106","Prunus avium","11.44","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9816-078","Prunus avium","10.54","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9819-005","Prunus avium","11.29","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9819-038","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-025","Prunus avium","12.2","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-103","Prunus avium","11","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9814-105","Prunus avium","11.51","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9814-028","Prunus avium","11.53","Sweet_cherry_CRS_phenotyping_2010"
"669","PC 9814-062","Prunus avium","10.78","Sweet_cherry_CRS_phenotyping_2010"
"670","PC 9814-063","Prunus avium","10.95","Sweet_cherry_CRS_phenotyping_2010"
"671","PC 9814-071","Prunus avium","10.51","Sweet_cherry_CRS_phenotyping_2010"
"672","PC 9814-076","Prunus avium","9.92","Sweet_cherry_CRS_phenotyping_2010"
"673","PC 9819-034","Prunus avium","11.55","Sweet_cherry_CRS_phenotyping_2010"
"674","Unk10-Sdlg","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2011"
"675","Unk10-Sdlg","Prunus avium","11.49","Sweet_cherry_CRS_phenotyping_2012"
"676","Unk11-Sdlg","Prunus avium","10.67","Sweet_cherry_CRS_phenotyping_2012"
"677","Unk11-Sdlg","Prunus avium","12.35","Sweet_cherry_CRS_phenotyping_2011"
"678","Unk12-Sdlg","Prunus avium","10.85","Sweet_cherry_CRS_phenotyping_2012"
"679","Unk14-Sdlg","Prunus avium","11.98","Sweet_cherry_CRS_phenotyping_2011"
"680","Unk14-Sdlg","Prunus avium","12.39","Sweet_cherry_CRS_phenotyping_2012"
"681","Unk15-Sdlg","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2012"
"682","Unk15-Sdlg","Prunus avium","10.99","Sweet_cherry_CRS_phenotyping_2010"
"683","Unk15-Sdlg","Prunus avium","11.56","Sweet_cherry_CRS_phenotyping_2011"
"684","Unk16-Sdlg","Prunus avium","9.6","Sweet_cherry_CRS_phenotyping_2011"
"685","Unk16-Sdlg","Prunus avium","10.49","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk17-Sdlg","Prunus avium","10.45","Sweet_cherry_CRS_phenotyping_2010"
"687","Unk1-Sdlg","Prunus avium","9.91","Sweet_cherry_CRS_phenotyping_2012"
"688","Unk20-Sdlg","Prunus avium","9.07","Sweet_cherry_CRS_phenotyping_2011"
"689","Unk22-Sdlg","Prunus avium","9.28","Sweet_cherry_CRS_phenotyping_2012"
"690","Unk23-Sdlg","Prunus avium","11.92","Sweet_cherry_CRS_phenotyping_2012"
"691","Unk25-Sdlg","Prunus avium","10.52","Sweet_cherry_CRS_phenotyping_2011"
"692","Unk25-Sdlg","Prunus avium","11.93","Sweet_cherry_CRS_phenotyping_2012"
"693","Unk6-Sdlg","Prunus avium","11.82","Sweet_cherry_CRS_phenotyping_2012"
"694","Unk9-Sdlg","Prunus avium","10.44","Sweet_cherry_CRS_phenotyping_2012"
"695","Emperor Francis","Prunus avium","10.7","Sweet_cherry_CRS_phenotyping_2012"
"696","Emperor Francis","Prunus avium","11.44","Sweet_cherry_CRS_phenotyping_2011"
"697","Black Republican","Prunus avium","10.19","Sweet_cherry_CRS_phenotyping_2011"
"698","Black Republican","Prunus avium","10.19","Sweet_cherry_CRS_phenotyping_2012"
"699","Krupnoplodnaya","Prunus avium","11.15","Sweet_cherry_CRS_phenotyping_2012"
"700","Venus","Prunus avium","9.97","Sweet_cherry_CRS_phenotyping_2011"
"701","Venus","Prunus avium","10.31","Sweet_cherry_CRS_phenotyping_2012"
"702","Moreau","Prunus avium","10.53","Sweet_cherry_CRS_phenotyping_2012"
"703","Moreau","Prunus avium","11.54","Sweet_cherry_CRS_phenotyping_2011"
"704","Index","Prunus avium","11.47","Sweet_cherry_CRS_phenotyping_2011"
"705","Index","Prunus avium","11.59","Sweet_cherry_CRS_phenotyping_2012"
"706","Index","Prunus avium","12.18","Sweet_cherry_CRS_phenotyping_2010"
"707","Sunburst","Prunus avium","11.58","Sweet_cherry_CRS_phenotyping_2012"
"708","Sunburst","Prunus avium","11.73","Sweet_cherry_CRS_phenotyping_2011"
