"#","Germplasm","Species","Pit_Lh","Dataset"
"110","FR27T018","Prunus avium","8.88","Sweet_cherry_CRS_phenotyping_2012"
"111","FR28T001","Prunus avium","9.53","Sweet_cherry_CRS_phenotyping_2012"
"112","FR28T100","Prunus avium","9.68","Sweet_cherry_CRS_phenotyping_2011"
"113","FR28T100","Prunus avium","9.86","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T101","Prunus avium","8.51","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T101","Prunus avium","9.05","Sweet_cherry_CRS_phenotyping_2012"
"116","FR28T102","Prunus avium","8.53","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T104","Prunus avium","8.18","Sweet_cherry_CRS_phenotyping_2011"
"118","FR28T104","Prunus avium","8.81","Sweet_cherry_CRS_phenotyping_2012"
"119","FR28T105","Prunus avium","8.72","Sweet_cherry_CRS_phenotyping_2011"
"120","FR28T105","Prunus avium","8.77","Sweet_cherry_CRS_phenotyping_2012"
"121","FR28T106","Prunus avium","9.05","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","9.57","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T107","Prunus avium","8.72","Sweet_cherry_CRS_phenotyping_2011"
"124","FR28T107","Prunus avium","9.3","Sweet_cherry_CRS_phenotyping_2012"
"125","FR28T108","Prunus avium","9.72","Sweet_cherry_CRS_phenotyping_2011"
"126","FR28T108","Prunus avium","10.26","Sweet_cherry_CRS_phenotyping_2012"
"127","FR29T074","Prunus avium","10.36","Sweet_cherry_CRS_phenotyping_2012"
"128","FR29T075","Prunus avium","9.73","Sweet_cherry_CRS_phenotyping_2011"
"129","FR29T075","Prunus avium","10.18","Sweet_cherry_CRS_phenotyping_2012"
"130","FR29T076","Prunus avium","9.63","Sweet_cherry_CRS_phenotyping_2012"
"131","FR29T076","Prunus avium","9.82","Sweet_cherry_CRS_phenotyping_2011"
