"#","Germplasm","Species","SSC","Dataset"
"231","FR14T076","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2011"
"232","FR14T076","Prunus avium","24.26","Sweet_cherry_CRS_phenotyping_2012"
"233","FR14T078","Prunus avium","19.55","Sweet_cherry_CRS_phenotyping_2011"
"234","FR14T078","Prunus avium","20.36","Sweet_cherry_CRS_phenotyping_2012"
"235","FR14T079","Prunus avium","21.16","Sweet_cherry_CRS_phenotyping_2012"
"236","FR14T079","Prunus avium","21.45","Sweet_cherry_CRS_phenotyping_2011"
"237","FR14T080","Prunus avium","20.94","Sweet_cherry_CRS_phenotyping_2012"
"238","FR14T080","Prunus avium","25.7","Sweet_cherry_CRS_phenotyping_2011"
"239","FR14T081","Prunus avium","21.82","Sweet_cherry_CRS_phenotyping_2012"
"240","FR14T081","Prunus avium","22.1","Sweet_cherry_CRS_phenotyping_2011"
"241","FR14T082","Prunus avium","17.35","Sweet_cherry_CRS_phenotyping_2011"
"242","FR14T082","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2012"
"243","FR14T084","Prunus avium","19.55","Sweet_cherry_CRS_phenotyping_2011"
"244","FR14T084","Prunus avium","24.87","Sweet_cherry_CRS_phenotyping_2012"
"245","FR14T086","Prunus avium","18.25","Sweet_cherry_CRS_phenotyping_2011"
"246","FR14T086","Prunus avium","24.9","Sweet_cherry_CRS_phenotyping_2012"
"247","FR16T001","Prunus avium","26.9","Sweet_cherry_CRS_phenotyping_2012"
"248","FR16T024","Prunus avium","14.65","Sweet_cherry_CRS_phenotyping_2011"
"249","FR16T024","Prunus avium","21.12","Sweet_cherry_CRS_phenotyping_2012"
"250","FR16T040","Prunus avium","25.23","Sweet_cherry_CRS_phenotyping_2012"
"251","FR16T041","Prunus avium","21.84","Sweet_cherry_CRS_phenotyping_2012"
"252","FR17T006","Prunus avium","23.55","Sweet_cherry_CRS_phenotyping_2011"
"253","FR17T006","Prunus avium","26.02","Sweet_cherry_CRS_phenotyping_2012"
"254","FR17T051","Prunus avium","24.2","Sweet_cherry_CRS_phenotyping_2011"
"255","FR17T062","Prunus avium","24.96","Sweet_cherry_CRS_phenotyping_2012"
"256","FR18T017","Prunus avium","17.65","Sweet_cherry_CRS_phenotyping_2011"
"257","FR18T017","Prunus avium","24.96","Sweet_cherry_CRS_phenotyping_2012"
"258","FR18T018","Prunus avium","17.53","Sweet_cherry_CRS_phenotyping_2011"
"259","FR18T018","Prunus avium","17.9","Sweet_cherry_CRS_phenotyping_2012"
"260","FR18T019","Prunus avium","17.04","Sweet_cherry_CRS_phenotyping_2012"
"261","FR18T019","Prunus avium","17.4","Sweet_cherry_CRS_phenotyping_2011"
"262","FR18T020","Prunus avium","21.45","Sweet_cherry_CRS_phenotyping_2012"
"263","FR18T041","Prunus avium","19.2","Sweet_cherry_CRS_phenotyping_2011"
"264","FR18T042","Prunus avium","26.4","Sweet_cherry_CRS_phenotyping_2012"
"265","FR18T043","Prunus avium","18.63","Sweet_cherry_CRS_phenotyping_2011"
"266","FR18T043","Prunus avium","23.06","Sweet_cherry_CRS_phenotyping_2012"
"267","FR18T044","Prunus avium","19.2","Sweet_cherry_CRS_phenotyping_2011"
"268","FR18T044","Prunus avium","22.28","Sweet_cherry_CRS_phenotyping_2012"
"269","FR18T045","Prunus avium","21.42","Sweet_cherry_CRS_phenotyping_2012"
"270","FR18T048","Prunus avium","19.55","Sweet_cherry_CRS_phenotyping_2011"
"271","FR18T048","Prunus avium","23.96","Sweet_cherry_CRS_phenotyping_2012"
"272","FR18T052","Prunus avium","22.3","Sweet_cherry_CRS_phenotyping_2012"
"273","FR18T071","Prunus avium","26.3","Sweet_cherry_CRS_phenotyping_2011"
"274","FR18T071","Prunus avium","32.45","Sweet_cherry_CRS_phenotyping_2012"
"275","FR1T027","Prunus avium","19.83","Sweet_cherry_CRS_phenotyping_2011"
"276","FR1T027","Prunus avium","21.8","Sweet_cherry_CRS_phenotyping_2012"
"277","FR1T028","Prunus avium","20.55","Sweet_cherry_CRS_phenotyping_2011"
"278","FR1T028","Prunus avium","23.18","Sweet_cherry_CRS_phenotyping_2012"
"279","FR1T029","Prunus avium","20.23","Sweet_cherry_CRS_phenotyping_2011"
"280","FR1T029","Prunus avium","20.32","Sweet_cherry_CRS_phenotyping_2012"
