"#","Germplasm","Species","SSC","Dataset"
"651","FR9T098","Prunus avium","26.9","Sweet_cherry_CRS_phenotyping_2012"
"652","PC 9816-005","Prunus avium","21.14","Sweet_cherry_CRS_phenotyping_2010"
"653","PC 9816-023","Prunus avium","24.7","Sweet_cherry_CRS_phenotyping_2010"
"654","PC 9816-041","Prunus avium","21.98","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-059","Prunus avium","21.47","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-083","Prunus avium","19.17","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9816-103","Prunus avium","21.45","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9816-105","Prunus avium","20.25","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9816-106","Prunus avium","20.03","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9816-078","Prunus avium","19.5","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9819-005","Prunus avium","24.78","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9819-038","Prunus avium","22.43","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9814-025","Prunus avium","28.75","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9814-103","Prunus avium","19.47","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-105","Prunus avium","18.03","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-028","Prunus avium","23.13","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9814-062","Prunus avium","24.1","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9814-063","Prunus avium","24.8","Sweet_cherry_CRS_phenotyping_2010"
"669","PC 9814-071","Prunus avium","17.37","Sweet_cherry_CRS_phenotyping_2010"
"670","PC 9814-076","Prunus avium","27.1","Sweet_cherry_CRS_phenotyping_2010"
"671","PC 9819-034","Prunus avium","24.45","Sweet_cherry_CRS_phenotyping_2010"
"672","Unk10-Sdlg","Prunus avium","22.55","Sweet_cherry_CRS_phenotyping_2011"
"673","Unk10-Sdlg","Prunus avium","23.5","Sweet_cherry_CRS_phenotyping_2012"
"674","Unk11-Sdlg","Prunus avium","18.07","Sweet_cherry_CRS_phenotyping_2011"
"675","Unk11-Sdlg","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2012"
"676","Unk12-Sdlg","Prunus avium","25.18","Sweet_cherry_CRS_phenotyping_2012"
"677","Unk14-Sdlg","Prunus avium","21.96","Sweet_cherry_CRS_phenotyping_2012"
"678","Unk14-Sdlg","Prunus avium","24.65","Sweet_cherry_CRS_phenotyping_2011"
"679","Unk15-Sdlg","Prunus avium","21.7","Sweet_cherry_CRS_phenotyping_2012"
"680","Unk15-Sdlg","Prunus avium","24.65","Sweet_cherry_CRS_phenotyping_2011"
"681","Unk15-Sdlg","Prunus avium","26.45","Sweet_cherry_CRS_phenotyping_2010"
"682","Unk16-Sdlg","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2011"
"683","Unk16-Sdlg","Prunus avium","20.22","Sweet_cherry_CRS_phenotyping_2012"
"684","Unk17-Sdlg","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2010"
"685","Unk1-Sdlg","Prunus avium","21.55","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk22-Sdlg","Prunus avium","22.1","Sweet_cherry_CRS_phenotyping_2012"
"687","Unk23-Sdlg","Prunus avium","22.62","Sweet_cherry_CRS_phenotyping_2012"
"688","Unk25-Sdlg","Prunus avium","19.6","Sweet_cherry_CRS_phenotyping_2011"
"689","Unk25-Sdlg","Prunus avium","20.87","Sweet_cherry_CRS_phenotyping_2012"
"690","Unk6-Sdlg","Prunus avium","23.6","Sweet_cherry_CRS_phenotyping_2012"
"691","Unk9-Sdlg","Prunus avium","21.73","Sweet_cherry_CRS_phenotyping_2012"
"692","Emperor Francis","Prunus avium","18.55","Sweet_cherry_CRS_phenotyping_2011"
"693","Emperor Francis","Prunus avium","21.44","Sweet_cherry_CRS_phenotyping_2012"
"694","Black Republican","Prunus avium","21.5","Sweet_cherry_CRS_phenotyping_2012"
"695","Black Republican","Prunus avium","22.2","Sweet_cherry_CRS_phenotyping_2011"
"696","Krupnoplodnaya","Prunus avium","21.3","Sweet_cherry_CRS_phenotyping_2012"
"697","Venus","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2012"
"698","Venus","Prunus avium","25.8","Sweet_cherry_CRS_phenotyping_2011"
"699","Moreau","Prunus avium","19.65","Sweet_cherry_CRS_phenotyping_2011"
"700","Moreau","Prunus avium","25.16","Sweet_cherry_CRS_phenotyping_2012"
"701","Index","Prunus avium","16.4","Sweet_cherry_CRS_phenotyping_2011"
"702","Index","Prunus avium","18.1","Sweet_cherry_CRS_phenotyping_2010"
"703","Index","Prunus avium","18.62","Sweet_cherry_CRS_phenotyping_2012"
"704","Sunburst","Prunus avium","15.6","Sweet_cherry_CRS_phenotyping_2011"
"705","Sunburst","Prunus avium","19.52","Sweet_cherry_CRS_phenotyping_2012"
