"Country","Institute","Site","Latitude","Longitude","Altitude","Plantation","Year","Cultivar","  Clone  ","Rootstock","Beginning of flowering (date)","Full Flowering (date)","End of flowering (date)","Beginning of Maturity (date)","Beginning of flowering","Full Flowering","End of flowering","Beginning of Maturity","Flowering duration"
"France","Cefel","Montauban","44.04","1.31",90,2001,2008,"Sweetheart Sumtare","V3502",,,26/3,,,,84,,,
"France","Cefel","Montauban","44.04","1.31",90,1999,2009,"Sweetheart Sumtare","V3502",,,29/3,,,,87,,,
"France","Cefel","Montauban","44.04","1.31",90,2001,2009,"Sweetheart Sumtare","V3502",,,29/3,,,,87,,,
"France","Centrex","Torreilles","42.76","2.98",10,2006,2009,"Rainier Sport","V3687",,,,,1/6,,,,151,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Bada","V2076",,,,,18/6,,,,168,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Duroni 3","V2006",,,,,30/6,,,,180,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Hedelfingen","V1877",,,,,29/6,,,,179,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Lambert","V2078",,,,,30/6,,,,180,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Marmotte","V1429",,,,,22/6,,,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Moreau","V1439",,,,,25/5,,,,144,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Napoleon","V1884",,,,,22/6,,,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Reverchon","V1814",,,,,22/6,,,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Simone Chaleat","V2225",,,,,24/6,,,,174,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Stark Hardy Giant","V1927",,,,,9/6,,,,159,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Stella","V2080",,,,,22/6,,,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Vega","V2081",,,,,7/6,,,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1980,1987,"Vesseau","V2044",,,,,15/6,,,,165,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Bargioni","V2174",,,8/4,,2/6,,97,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Garnet","V2155",,,25/3,,31/5,,83,,150,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1992,"Garnet","V2155",,,,,23/5,,,,142,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1993,"Garnet","V2155",,,9/4,,5/6,,98,,155,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"New Star","V2181",,,25/3,,8/6,,83,,158,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Rainier","V1931",,,5/4,,8/6,,94,,158,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Stark Hardy Giant","V1927",,,,,2/6,,,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Sunburst","V2182",,,,,9/6,,,,159,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Sunburst","V2216",,,7/4,,9/6,,96,,159,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Sylvia","V2218",,,2/4,8/4,10/6,,91,97,160,
"France","Ctifl","Balandran","43.76","4.46",52,1981,1989,"Van","V1903",,,,,9/6,,,,159,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Cerise Corse","V2260",,,2/4,8/4,14/6,,91,97,164,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Cerise Montmorency","V1280",,,,,6/7,,,,186,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Hedelfingen","V1877",,,,,12/6,,,,162,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Reverchon","V1814",,,,10/4,14/6,,,99,164,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Stark Hardy Giant","V1927",,,,,7/6,,,,157,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1987,"Starkrimson","V2395",,,,,10/6,,,,160,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Ulster","V1629",,,,,2/6,,,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1987,"Van","V1903",,,13/4,,22/6,,102,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Van","V1903",,,,,9/6,,,,159,
"France","Ctifl","Balandran","43.76","4.46",52,1982,1989,"Verdel Ferbolus","V1360",,,4/4,,26/6,,93,,176,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Arcina Fercer","V2220",,,19/4,,22/6,,108,,172,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Arcina Fercer","V2220",,,29/3,,5/6,,87,,155,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Duroni 3","V2226",,,23/4,,30/6,,112,,180,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Ferrovia","V1946",,,,,30/6,,,,180,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Ferrovia","V1946",,,,12/4,23/6,,,101,173,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Hedelfingen","V1877",,,,,30/6,,,,180,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Hedelfingen","V1877",,,7/4,12/4,12/6,,96,101,162,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Hedelfingen","V2349",,,18/4,20/4,30/6,,107,109,180,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Maipot","V2357",,,19/4,21/4,22/6,,108,110,172,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Marvin Niram","V2334",,,26/3,,16/5,,84,,135,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Sam","V1264",,,19/4,,18/6,,108,,168,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Sam","V1264",,,,,2/6,,,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Simcoe Probla","V2380",,,16/4,18/4,30/6,,105,107,180,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Summit","V2017",,,4/4,,2/6,,93,,152,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Tragana d'Edessa","V2401",,,,,14/6,,,,164,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1987,"Tragana d'Edessa","V2402",,,15/4,17/4,30/6,,104,106,180,
"France","Ctifl","Balandran","43.76","4.46",52,1983,1989,"Tragana d'Edessa","V2402",,,2/4,10/4,14/6,,91,99,164,
