"#","Germplasm","Species","Pull_Force","Dataset"
"649","PC 9816-005","Prunus avium","973.8","Sweet_cherry_CRS_phenotyping_2010"
"650","PC 9816-023","Prunus avium","992.2","Sweet_cherry_CRS_phenotyping_2010"
"651","PC 9816-041","Prunus avium","940.2","Sweet_cherry_CRS_phenotyping_2010"
"652","PC 9816-059","Prunus avium","1346","Sweet_cherry_CRS_phenotyping_2010"
"653","PC 9816-083","Prunus avium","1259.3","Sweet_cherry_CRS_phenotyping_2010"
"654","PC 9816-103","Prunus avium","1195.1","Sweet_cherry_CRS_phenotyping_2010"
"655","PC 9816-105","Prunus avium","1033","Sweet_cherry_CRS_phenotyping_2010"
"656","PC 9816-106","Prunus avium","1444.9","Sweet_cherry_CRS_phenotyping_2010"
"657","PC 9816-078","Prunus avium","1220.6","Sweet_cherry_CRS_phenotyping_2010"
"658","PC 9819-005","Prunus avium","837.2","Sweet_cherry_CRS_phenotyping_2010"
"659","PC 9819-038","Prunus avium","765.8","Sweet_cherry_CRS_phenotyping_2010"
"660","PC 9814-025","Prunus avium","1080.9","Sweet_cherry_CRS_phenotyping_2010"
"661","PC 9814-103","Prunus avium","718.9","Sweet_cherry_CRS_phenotyping_2010"
"662","PC 9814-105","Prunus avium","1221.6","Sweet_cherry_CRS_phenotyping_2010"
"663","PC 9814-028","Prunus avium","992.2","Sweet_cherry_CRS_phenotyping_2010"
"664","PC 9814-062","Prunus avium","1239","Sweet_cherry_CRS_phenotyping_2010"
"665","PC 9814-063","Prunus avium","1070.7","Sweet_cherry_CRS_phenotyping_2010"
"666","PC 9814-071","Prunus avium","1274.6","Sweet_cherry_CRS_phenotyping_2010"
"667","PC 9814-076","Prunus avium","648.5","Sweet_cherry_CRS_phenotyping_2010"
"668","PC 9819-034","Prunus avium","1074.8","Sweet_cherry_CRS_phenotyping_2010"
"669","Unk10-Sdlg","Prunus avium","510.9","Sweet_cherry_CRS_phenotyping_2011"
"670","Unk10-Sdlg","Prunus avium","823.9","Sweet_cherry_CRS_phenotyping_2012"
"671","Unk11-Sdlg","Prunus avium","586.3","Sweet_cherry_CRS_phenotyping_2012"
"672","Unk11-Sdlg","Prunus avium","1214.5","Sweet_cherry_CRS_phenotyping_2011"
"673","Unk12-Sdlg","Prunus avium","596.5","Sweet_cherry_CRS_phenotyping_2012"
"674","Unk14-Sdlg","Prunus avium","602.7","Sweet_cherry_CRS_phenotyping_2012"
"675","Unk14-Sdlg","Prunus avium","834.1","Sweet_cherry_CRS_phenotyping_2011"
"676","Unk15-Sdlg","Prunus avium","582.3","Sweet_cherry_CRS_phenotyping_2012"
"677","Unk15-Sdlg","Prunus avium","939.2","Sweet_cherry_CRS_phenotyping_2011"
"678","Unk15-Sdlg","Prunus avium","1021.8","Sweet_cherry_CRS_phenotyping_2010"
"679","Unk16-Sdlg","Prunus avium","659.8","Sweet_cherry_CRS_phenotyping_2012"
"680","Unk16-Sdlg","Prunus avium","736.2","Sweet_cherry_CRS_phenotyping_2011"
"681","Unk17-Sdlg","Prunus avium","967.7","Sweet_cherry_CRS_phenotyping_2010"
"682","Unk1-Sdlg","Prunus avium","581.2","Sweet_cherry_CRS_phenotyping_2012"
"683","Unk20-Sdlg","Prunus avium","776","Sweet_cherry_CRS_phenotyping_2011"
"684","Unk22-Sdlg","Prunus avium","507.8","Sweet_cherry_CRS_phenotyping_2012"
"685","Unk23-Sdlg","Prunus avium","560.8","Sweet_cherry_CRS_phenotyping_2012"
"686","Unk25-Sdlg","Prunus avium","502.7","Sweet_cherry_CRS_phenotyping_2011"
"687","Unk25-Sdlg","Prunus avium","553.7","Sweet_cherry_CRS_phenotyping_2012"
"688","Unk6-Sdlg","Prunus avium","948.3","Sweet_cherry_CRS_phenotyping_2012"
"689","Unk9-Sdlg","Prunus avium","1012.6","Sweet_cherry_CRS_phenotyping_2012"
"690","Emperor Francis","Prunus avium","686.3","Sweet_cherry_CRS_phenotyping_2012"
"691","Emperor Francis","Prunus avium","868.8","Sweet_cherry_CRS_phenotyping_2011"
"692","Black Republican","Prunus avium","680.2","Sweet_cherry_CRS_phenotyping_2012"
"693","Black Republican","Prunus avium","770.9","Sweet_cherry_CRS_phenotyping_2011"
"694","Krupnoplodnaya","Prunus avium","634.3","Sweet_cherry_CRS_phenotyping_2012"
"695","Venus","Prunus avium","699.5","Sweet_cherry_CRS_phenotyping_2011"
"696","Venus","Prunus avium","723","Sweet_cherry_CRS_phenotyping_2012"
"697","Moreau","Prunus avium","771.9","Sweet_cherry_CRS_phenotyping_2012"
"698","Moreau","Prunus avium","843.3","Sweet_cherry_CRS_phenotyping_2011"
"699","Index","Prunus avium","869.8","Sweet_cherry_CRS_phenotyping_2012"
"700","Index","Prunus avium","1228.8","Sweet_cherry_CRS_phenotyping_2011"
"701","Index","Prunus avium","1335.8","Sweet_cherry_CRS_phenotyping_2010"
"702","Sunburst","Prunus avium","851.5","Sweet_cherry_CRS_phenotyping_2012"
"703","Sunburst","Prunus avium","1055.4","Sweet_cherry_CRS_phenotyping_2011"
