"#","Germplasm","Species","Pull_Force","Dataset"
"113","FR28T100","Prunus avium","590.4","Sweet_cherry_CRS_phenotyping_2012"
"114","FR28T101","Prunus avium","418.1","Sweet_cherry_CRS_phenotyping_2011"
"115","FR28T101","Prunus avium","536.4","Sweet_cherry_CRS_phenotyping_2012"
"116","FR28T102","Prunus avium","577.2","Sweet_cherry_CRS_phenotyping_2012"
"117","FR28T104","Prunus avium","548.6","Sweet_cherry_CRS_phenotyping_2012"
"118","FR28T104","Prunus avium","627.1","Sweet_cherry_CRS_phenotyping_2011"
"119","FR28T105","Prunus avium","569","Sweet_cherry_CRS_phenotyping_2012"
"120","FR28T105","Prunus avium","575.1","Sweet_cherry_CRS_phenotyping_2011"
"121","FR28T106","Prunus avium","507.8","Sweet_cherry_CRS_phenotyping_2012"
"122","FR28T106","Prunus avium","510.9","Sweet_cherry_CRS_phenotyping_2011"
"123","FR28T107","Prunus avium","427.3","Sweet_cherry_CRS_phenotyping_2011"
"124","FR28T107","Prunus avium","475.2","Sweet_cherry_CRS_phenotyping_2012"
"125","FR28T108","Prunus avium","451.7","Sweet_cherry_CRS_phenotyping_2011"
"126","FR28T108","Prunus avium","510.9","Sweet_cherry_CRS_phenotyping_2012"
"127","FR29T074","Prunus avium","567","Sweet_cherry_CRS_phenotyping_2012"
"128","FR29T075","Prunus avium","539.4","Sweet_cherry_CRS_phenotyping_2012"
"129","FR29T075","Prunus avium","742.4","Sweet_cherry_CRS_phenotyping_2011"
"130","FR29T076","Prunus avium","458.9","Sweet_cherry_CRS_phenotyping_2011"
"131","FR29T076","Prunus avium","499.7","Sweet_cherry_CRS_phenotyping_2012"
"132","FR29T077","Prunus avium","487.4","Sweet_cherry_CRS_phenotyping_2011"
"133","FR29T077","Prunus avium","535.4","Sweet_cherry_CRS_phenotyping_2012"
"134","FR10T098","Prunus avium","551.7","Sweet_cherry_CRS_phenotyping_2012"
"135","FR10T099","Prunus avium","520.1","Sweet_cherry_CRS_phenotyping_2012"
"136","FR10T099","Prunus avium","861.7","Sweet_cherry_CRS_phenotyping_2011"
"137","FR10T101","Prunus avium","725","Sweet_cherry_CRS_phenotyping_2012"
"138","FR10T101","Prunus avium","757.6","Sweet_cherry_CRS_phenotyping_2011"
"139","FR11T015","Prunus avium","1080.9","Sweet_cherry_CRS_phenotyping_2012"
"140","FR11T015","Prunus avium","1151.3","Sweet_cherry_CRS_phenotyping_2011"
"141","FR11T015","Prunus avium","1281.8","Sweet_cherry_CRS_phenotyping_2010"
"142","FR11T016","Prunus avium","940.2","Sweet_cherry_CRS_phenotyping_2012"
"143","FR11T016","Prunus avium","976.9","Sweet_cherry_CRS_phenotyping_2011"
"144","FR11T017","Prunus avium","849.4","Sweet_cherry_CRS_phenotyping_2011"
"145","FR11T017","Prunus avium","907.5","Sweet_cherry_CRS_phenotyping_2010"
"146","FR11T017","Prunus avium","914.7","Sweet_cherry_CRS_phenotyping_2012"
"147","FR11T018","Prunus avium","645.5","Sweet_cherry_CRS_phenotyping_2012"
"148","FR11T018","Prunus avium","1036","Sweet_cherry_CRS_phenotyping_2010"
"149","FR11T019","Prunus avium","645.5","Sweet_cherry_CRS_phenotyping_2012"
"150","FR11T019","Prunus avium","941.2","Sweet_cherry_CRS_phenotyping_2011"
"151","FR11T025","Prunus avium","613.9","Sweet_cherry_CRS_phenotyping_2012"
"152","FR11T025","Prunus avium","1044.2","Sweet_cherry_CRS_phenotyping_2011"
"153","FR11T026","Prunus avium","564.9","Sweet_cherry_CRS_phenotyping_2012"
"154","FR11T027","Prunus avium","641.4","Sweet_cherry_CRS_phenotyping_2012"
"155","FR11T027","Prunus avium","816.8","Sweet_cherry_CRS_phenotyping_2011"
"156","FR11T028","Prunus avium","557.8","Sweet_cherry_CRS_phenotyping_2012"
"157","FR11T028","Prunus avium","639.4","Sweet_cherry_CRS_phenotyping_2011"
"158","FR11T029","Prunus avium","798.4","Sweet_cherry_CRS_phenotyping_2012"
"159","FR11T029","Prunus avium","833.1","Sweet_cherry_CRS_phenotyping_2011"
"160","FR11T029","Prunus avium","962.6","Sweet_cherry_CRS_phenotyping_2010"
"161","FR11T030","Prunus avium","731.1","Sweet_cherry_CRS_phenotyping_2010"
"162","FR11T030","Prunus avium","895.3","Sweet_cherry_CRS_phenotyping_2012"
"163","FR11T031","Prunus avium","722","Sweet_cherry_CRS_phenotyping_2012"
"164","FR11T031","Prunus avium","948.3","Sweet_cherry_CRS_phenotyping_2010"
"165","FR11T031","Prunus avium","1006.5","Sweet_cherry_CRS_phenotyping_2011"
"166","FR11T032","Prunus avium","759.7","Sweet_cherry_CRS_phenotyping_2011"
"167","FR11T032","Prunus avium","866.8","Sweet_cherry_CRS_phenotyping_2012"
"168","FR11T032","Prunus avium","1105.4","Sweet_cherry_CRS_phenotyping_2010"
"169","FR12T001","Prunus avium","564.9","Sweet_cherry_CRS_phenotyping_2011"
"170","FR12T001","Prunus avium","663.8","Sweet_cherry_CRS_phenotyping_2012"
"171","FR12T003","Prunus avium","553.7","Sweet_cherry_CRS_phenotyping_2012"
"172","FR12T004","Prunus avium","509.9","Sweet_cherry_CRS_phenotyping_2012"
"173","FR12T004","Prunus avium","999.3","Sweet_cherry_CRS_phenotyping_2011"
"174","FR12T006","Prunus avium","489.5","Sweet_cherry_CRS_phenotyping_2011"
"175","FR12T006","Prunus avium","534.3","Sweet_cherry_CRS_phenotyping_2012"
"176","FR12T009","Prunus avium","1041.1","Sweet_cherry_CRS_phenotyping_2012"
