"#","Germplasm","Species","Perc_Cracking","Dataset"
"169","FR2T037","Prunus avium","9.09","Sweet_cherry_CRS_phenotyping_2011"
"170","FR2T038","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"171","FR2T040","Prunus avium","28","Sweet_cherry_CRS_phenotyping_2010"
"172","FR2T045","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"173","FR2T045","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"174","FR2T046","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2010"
"175","FR2T048","Prunus avium","15.79","Sweet_cherry_CRS_phenotyping_2011"
"176","FR2T049","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"177","FR2T049","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"178","FR2T050","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"179","FR2T050","Prunus avium","50","Sweet_cherry_CRS_phenotyping_2010"
"180","FR2T054","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"181","FR2T079","Prunus avium","16","Sweet_cherry_CRS_phenotyping_2010"
"182","FR2T080","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"183","FR2T080","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"184","FR30T099","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"185","FR30T109","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"186","FR31T007","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"187","FR31T010","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"188","FR33T005","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"189","FR33T006","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"190","FR33T008","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"191","FR35T101","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"192","FR35T102","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"193","FR35T103","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"194","FR35T104","Prunus avium","60","Sweet_cherry_CRS_phenotyping_2011"
"195","FR35T105","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"196","FR35T108","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"197","FR35T110","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"198","FR3T002","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"199","FR3T002","Prunus avium","15.38","Sweet_cherry_CRS_phenotyping_2011"
"200","FR3T004","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"201","FR3T007","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"202","FR3T009","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"203","FR3T013","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"204","FR3T018","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"205","FR3T018","Prunus avium","33.33","Sweet_cherry_CRS_phenotyping_2010"
"206","FR3T020","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"207","FR3T020","Prunus avium","40","Sweet_cherry_CRS_phenotyping_2010"
"208","FR3T021","Prunus avium","30.77","Sweet_cherry_CRS_phenotyping_2010"
"209","FR3T022","Prunus avium","33.33","Sweet_cherry_CRS_phenotyping_2011"
"210","FR3T023","Prunus avium","7.14","Sweet_cherry_CRS_phenotyping_2011"
"211","FR3T025","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"212","FR3T025","Prunus avium","46.67","Sweet_cherry_CRS_phenotyping_2010"
"213","FR3T029","Prunus avium","6.67","Sweet_cherry_CRS_phenotyping_2010"
"214","FR3T031","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2011"
"215","FR3T032","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"216","FR3T034","Prunus avium","14.29","Sweet_cherry_CRS_phenotyping_2011"
"217","FR3T043","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2011"
"218","FR3T043","Prunus avium","28","Sweet_cherry_CRS_phenotyping_2010"
"219","FR3T046","Prunus avium","6.25","Sweet_cherry_CRS_phenotyping_2011"
"220","FR3T050","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"221","FR3T056","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"222","FR3T056","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"223","FR3T057","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"224","FR3T057","Prunus avium","46.67","Sweet_cherry_CRS_phenotyping_2010"
"225","FR3T058","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"226","FR42T001","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"227","FR42T048","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"228","FR5T019","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"229","FR8T002","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"230","FR8T003","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"231","FR8T057","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"232","FR9T031","Prunus avium","18","Sweet_cherry_CRS_phenotyping_2010"
"233","FR9T032","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"234","FR9T033","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"235","FR9T034","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"236","FR9T081","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"237","FR9T083","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"238","FR9T084","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"239","FR9T085","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"240","FR9T086","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"241","FR9T087","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"242","FR9T097","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"243","FR9T098","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"244","PC 9816-005","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2010"
"245","PC 9816-023","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2010"
"246","PC 9816-041","Prunus avium","46.15","Sweet_cherry_CRS_phenotyping_2010"
"247","PC 9816-059","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"248","PC 9816-083","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"249","PC 9816-103","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"250","PC 9816-105","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"251","PC 9816-106","Prunus avium","24","Sweet_cherry_CRS_phenotyping_2010"
"252","PC 9816-078","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"253","PC 9819-005","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"254","PC 9819-038","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"255","PC 9814-025","Prunus avium","50","Sweet_cherry_CRS_phenotyping_2010"
"256","PC 9814-103","Prunus avium","66.67","Sweet_cherry_CRS_phenotyping_2010"
"257","PC 9814-105","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"258","PC 9814-028","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"259","PC 9814-062","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"260","PC 9814-063","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"261","PC 9814-071","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"262","PC 9814-076","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"263","PC 9819-034","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"264","Unk10-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"265","Unk11-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"266","Unk14-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"267","Unk15-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"268","Unk15-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"269","Unk16-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"270","Unk17-Sdlg","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"271","Unk20-Sdlg","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"272","Unk25-Sdlg","Prunus avium","50","Sweet_cherry_CRS_phenotyping_2011"
"273","Emperor Francis","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"274","Moreau","Prunus avium","11.11","Sweet_cherry_CRS_phenotyping_2011"
"275","Index","Prunus avium","32","Sweet_cherry_CRS_phenotyping_2010"
"276","Sunburst","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
