"#","Germplasm","Species","Stem_length","Dataset"
"138","FR18T041","Prunus avium","61.28","Sweet_cherry_CRS_phenotyping_2011"
"139","FR18T043","Prunus avium","43.5","Sweet_cherry_CRS_phenotyping_2011"
"140","FR18T044","Prunus avium","44.39","Sweet_cherry_CRS_phenotyping_2011"
"141","FR18T048","Prunus avium","37.98","Sweet_cherry_CRS_phenotyping_2011"
"142","FR18T071","Prunus avium","27.18","Sweet_cherry_CRS_phenotyping_2011"
"143","FR1T027","Prunus avium","56.77","Sweet_cherry_CRS_phenotyping_2011"
"144","FR1T028","Prunus avium","51.49","Sweet_cherry_CRS_phenotyping_2011"
"145","FR1T029","Prunus avium","42.68","Sweet_cherry_CRS_phenotyping_2010"
"146","FR1T029","Prunus avium","46.23","Sweet_cherry_CRS_phenotyping_2011"
"147","FR1T030","Prunus avium","53.58","Sweet_cherry_CRS_phenotyping_2010"
"148","FR1T030","Prunus avium","54.09","Sweet_cherry_CRS_phenotyping_2011"
"149","FR1T031","Prunus avium","54.2","Sweet_cherry_CRS_phenotyping_2011"
"150","FR1T031","Prunus avium","57.97","Sweet_cherry_CRS_phenotyping_2010"
"151","FR1T032","Prunus avium","49.24","Sweet_cherry_CRS_phenotyping_2010"
"152","FR1T032","Prunus avium","50.78","Sweet_cherry_CRS_phenotyping_2011"
"153","FR1T033","Prunus avium","42.18","Sweet_cherry_CRS_phenotyping_2011"
"154","FR1T033","Prunus avium","46.81","Sweet_cherry_CRS_phenotyping_2010"
"155","FR1T037","Prunus avium","52.98","Sweet_cherry_CRS_phenotyping_2010"
"156","FR1T037","Prunus avium","55.55","Sweet_cherry_CRS_phenotyping_2011"
"157","FR1T038","Prunus avium","44.39","Sweet_cherry_CRS_phenotyping_2010"
"158","FR1T038","Prunus avium","51.85","Sweet_cherry_CRS_phenotyping_2011"
"159","FR1T039","Prunus avium","43.25","Sweet_cherry_CRS_phenotyping_2011"
"160","FR1T039","Prunus avium","44.35","Sweet_cherry_CRS_phenotyping_2010"
"161","FR1T040","Prunus avium","45.98","Sweet_cherry_CRS_phenotyping_2010"
"162","FR1T040","Prunus avium","53.13","Sweet_cherry_CRS_phenotyping_2011"
"163","FR1T041","Prunus avium","50.39","Sweet_cherry_CRS_phenotyping_2010"
"164","FR1T041","Prunus avium","54.44","Sweet_cherry_CRS_phenotyping_2011"
"165","FR1T042","Prunus avium","45.96","Sweet_cherry_CRS_phenotyping_2011"
"166","FR1T042","Prunus avium","47.75","Sweet_cherry_CRS_phenotyping_2010"
"167","FR1T054","Prunus avium","38.5","Sweet_cherry_CRS_phenotyping_2011"
"168","FR1T054","Prunus avium","40.46","Sweet_cherry_CRS_phenotyping_2010"
"169","FR1T056","Prunus avium","45.25","Sweet_cherry_CRS_phenotyping_2011"
"170","FR1T056","Prunus avium","54.68","Sweet_cherry_CRS_phenotyping_2010"
"171","FR1T065","Prunus avium","46.23","Sweet_cherry_CRS_phenotyping_2011"
"172","FR1T065","Prunus avium","56.01","Sweet_cherry_CRS_phenotyping_2010"
