"#","Germplasm","Species","Perc_Pitting","Dataset"
"106","FR22T004","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"107","FR23T090","Prunus avium","30","Sweet_cherry_CRS_phenotyping_2011"
"108","FR23T120","Prunus avium","16.67","Sweet_cherry_CRS_phenotyping_2011"
"109","FR25T090","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"110","FR27T012","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"111","FR27T054","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"112","FR27T094","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2011"
"113","FR2T035","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2010"
"114","FR2T037","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"115","FR2T038","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"116","FR2T040","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"117","FR2T045","Prunus avium","12","Sweet_cherry_CRS_phenotyping_2010"
"118","FR2T046","Prunus avium","4.17","Sweet_cherry_CRS_phenotyping_2010"
"119","FR2T048","Prunus avium","15.79","Sweet_cherry_CRS_phenotyping_2011"
"120","FR2T049","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"121","FR2T050","Prunus avium","50","Sweet_cherry_CRS_phenotyping_2010"
"122","FR2T054","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"123","FR2T079","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"124","FR2T079","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"125","FR2T080","Prunus avium","8","Sweet_cherry_CRS_phenotyping_2010"
"126","FR30T102","Prunus avium","33.33","Sweet_cherry_CRS_phenotyping_2011"
"127","FR30T106","Prunus avium","8.33","Sweet_cherry_CRS_phenotyping_2011"
"128","FR30T108","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"129","FR33T006","Prunus avium","100","Sweet_cherry_CRS_phenotyping_2011"
"130","FR35T108","Prunus avium","40","Sweet_cherry_CRS_phenotyping_2011"
"131","FR3T002","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"132","FR3T004","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"133","FR3T018","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2011"
"134","FR3T018","Prunus avium","16.67","Sweet_cherry_CRS_phenotyping_2010"
"135","FR3T020","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"136","FR3T021","Prunus avium","7.69","Sweet_cherry_CRS_phenotyping_2010"
"137","FR3T021","Prunus avium","9.52","Sweet_cherry_CRS_phenotyping_2011"
"138","FR3T023","Prunus avium","7.14","Sweet_cherry_CRS_phenotyping_2011"
"139","FR3T025","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"140","FR3T025","Prunus avium","4.35","Sweet_cherry_CRS_phenotyping_2011"
"141","FR3T029","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"142","FR3T030","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"143","FR3T043","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"144","FR3T044","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"145","FR3T046","Prunus avium","6.25","Sweet_cherry_CRS_phenotyping_2011"
"146","FR3T047","Prunus avium","40","Sweet_cherry_CRS_phenotyping_2011"
"147","FR3T050","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"148","FR3T056","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"149","FR3T056","Prunus avium","8.7","Sweet_cherry_CRS_phenotyping_2011"
"150","FR3T057","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2010"
"151","FR3T057","Prunus avium","6.67","Sweet_cherry_CRS_phenotyping_2011"
"152","FR8T002","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"153","FR8T011","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2011"
"154","FR9T032","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"155","FR9T033","Prunus avium","10","Sweet_cherry_CRS_phenotyping_2011"
"156","FR9T034","Prunus avium","0","Sweet_cherry_CRS_phenotyping_2011"
"157","FR9T081","Prunus avium","5.56","Sweet_cherry_CRS_phenotyping_2011"
"158","FR9T083","Prunus avium","4.76","Sweet_cherry_CRS_phenotyping_2011"
"159","FR9T085","Prunus avium","22.22","Sweet_cherry_CRS_phenotyping_2011"
"160","FR9T097","Prunus avium","25","Sweet_cherry_CRS_phenotyping_2011"
"161","FR9T098","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2011"
"162","PC 9816-005","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2010"
"163","PC 9816-023","Prunus avium","12.5","Sweet_cherry_CRS_phenotyping_2010"
"164","PC 9816-041","Prunus avium","7.69","Sweet_cherry_CRS_phenotyping_2010"
