"#","Germplasm","Species","Fruit_Shape","Dataset"
"123","FR11T017","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"124","FR11T018","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"125","FR11T019","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"126","FR11T019","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"127","FR11T025","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"128","FR11T025","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"129","FR11T026","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"130","FR11T027","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"131","FR11T027","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"132","FR11T028","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"133","FR11T028","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"134","FR11T029","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"135","FR11T029","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"136","FR11T030","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"137","FR11T031","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"138","FR11T031","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2012"
"139","FR11T032","Prunus avium","2.6","Sweet_cherry_CRS_phenotyping_2011"
"140","FR11T032","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"141","FR12T001","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"142","FR12T001","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"143","FR12T003","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"144","FR12T004","Prunus avium","4.2","Sweet_cherry_CRS_phenotyping_2011"
"145","FR12T004","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"146","FR12T006","Prunus avium","3.4","Sweet_cherry_CRS_phenotyping_2012"
"147","FR12T006","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
"148","FR12T009","Prunus avium","1","Sweet_cherry_CRS_phenotyping_2012"
"149","FR12T009","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"150","FR12T011","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"151","FR12T012","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"152","FR12T012","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"153","FR12T056","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"154","FR12T056","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"155","FR12T057","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"156","FR12T058","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"157","FR12T058","Prunus avium","2.8","Sweet_cherry_CRS_phenotyping_2011"
"158","FR12T063","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"159","FR12T063","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2011"
"160","FR12T066","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"161","FR12T066","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"162","FR12T067","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"163","FR12T067","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2011"
"164","FR12T068","Prunus avium","3","Sweet_cherry_CRS_phenotyping_2012"
"165","FR12T068","Prunus avium","3.8","Sweet_cherry_CRS_phenotyping_2011"
"166","FR12T069","Prunus avium","5","Sweet_cherry_CRS_phenotyping_2012"
"167","FR12T071","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2012"
"168","FR12T071","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2011"
"169","FR12T072","Prunus avium","2","Sweet_cherry_CRS_phenotyping_2011"
"170","FR12T072","Prunus avium","4","Sweet_cherry_CRS_phenotyping_2012"
"171","FR12T073","Prunus avium","4.4","Sweet_cherry_CRS_phenotyping_2011"
