"#","Germplasm","Species","Bulked_Fruit_SSC","Dataset"
"145","FR2T038","Prunus avium","17.1","Sweet_cherry_CRS_phenotyping_2011"
"146","FR2T038","Prunus avium","18.6","Sweet_cherry_CRS_phenotyping_2010"
"147","FR2T040","Prunus avium","24.3","Sweet_cherry_CRS_phenotyping_2010"
"148","FR2T045","Prunus avium","23.6","Sweet_cherry_CRS_phenotyping_2010"
"149","FR2T046","Prunus avium","16.7","Sweet_cherry_CRS_phenotyping_2011"
"150","FR2T046","Prunus avium","20.5","Sweet_cherry_CRS_phenotyping_2010"
"151","FR2T048","Prunus avium","16.1","Sweet_cherry_CRS_phenotyping_2011"
"152","FR2T049","Prunus avium","18.4","Sweet_cherry_CRS_phenotyping_2011"
"153","FR2T049","Prunus avium","21.6","Sweet_cherry_CRS_phenotyping_2010"
"154","FR2T050","Prunus avium","15.9","Sweet_cherry_CRS_phenotyping_2011"
"155","FR2T050","Prunus avium","22.3","Sweet_cherry_CRS_phenotyping_2010"
"156","FR2T054","Prunus avium","17.2","Sweet_cherry_CRS_phenotyping_2011"
"157","FR2T054","Prunus avium","22.4","Sweet_cherry_CRS_phenotyping_2010"
"158","FR2T057","Prunus avium","15.4","Sweet_cherry_CRS_phenotyping_2011"
"159","FR2T057","Prunus avium","17.5","Sweet_cherry_CRS_phenotyping_2010"
"160","FR2T079","Prunus avium","23.3","Sweet_cherry_CRS_phenotyping_2010"
"161","FR2T080","Prunus avium","19","Sweet_cherry_CRS_phenotyping_2011"
"162","FR2T080","Prunus avium","26.5","Sweet_cherry_CRS_phenotyping_2010"
"163","FR30T109","Prunus avium","14.3","Sweet_cherry_CRS_phenotyping_2011"
"164","FR31T007","Prunus avium","15.2","Sweet_cherry_CRS_phenotyping_2011"
"165","FR31T010","Prunus avium","20.8","Sweet_cherry_CRS_phenotyping_2011"
"166","FR33T004","Prunus avium","20.6","Sweet_cherry_CRS_phenotyping_2011"
"167","FR33T005","Prunus avium","21.8","Sweet_cherry_CRS_phenotyping_2011"
"168","FR33T006","Prunus avium","18.8","Sweet_cherry_CRS_phenotyping_2011"
"169","FR35T101","Prunus avium","17.3","Sweet_cherry_CRS_phenotyping_2011"
"170","FR35T102","Prunus avium","20.8","Sweet_cherry_CRS_phenotyping_2011"
"171","FR35T103","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2011"
"172","FR35T104","Prunus avium","22.8","Sweet_cherry_CRS_phenotyping_2011"
"173","FR3T002","Prunus avium","20.1","Sweet_cherry_CRS_phenotyping_2011"
"174","FR3T002","Prunus avium","27.7","Sweet_cherry_CRS_phenotyping_2010"
"175","FR3T003","Prunus avium","19.4","Sweet_cherry_CRS_phenotyping_2011"
"176","FR3T004","Prunus avium","18.3","Sweet_cherry_CRS_phenotyping_2010"
"177","FR3T004","Prunus avium","18.7","Sweet_cherry_CRS_phenotyping_2011"
"178","FR3T005","Prunus avium","12.3","Sweet_cherry_CRS_phenotyping_2011"
"179","FR3T007","Prunus avium","14.3","Sweet_cherry_CRS_phenotyping_2011"
"180","FR3T008","Prunus avium","17.3","Sweet_cherry_CRS_phenotyping_2011"
"181","FR3T009","Prunus avium","18.8","Sweet_cherry_CRS_phenotyping_2011"
"182","FR3T013","Prunus avium","16.7","Sweet_cherry_CRS_phenotyping_2011"
"183","FR3T014","Prunus avium","13.6","Sweet_cherry_CRS_phenotyping_2011"
"184","FR3T014","Prunus avium","17.1","Sweet_cherry_CRS_phenotyping_2010"
"185","FR3T015","Prunus avium","19.3","Sweet_cherry_CRS_phenotyping_2011"
"186","FR3T016","Prunus avium","14.6","Sweet_cherry_CRS_phenotyping_2011"
"187","FR3T016","Prunus avium","25.6","Sweet_cherry_CRS_phenotyping_2010"
"188","FR3T018","Prunus avium","17.5","Sweet_cherry_CRS_phenotyping_2011"
"189","FR3T018","Prunus avium","23.2","Sweet_cherry_CRS_phenotyping_2010"
"190","FR3T020","Prunus avium","15.1","Sweet_cherry_CRS_phenotyping_2011"
"191","FR3T020","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"192","FR3T021","Prunus avium","18.5","Sweet_cherry_CRS_phenotyping_2011"
"193","FR3T021","Prunus avium","20","Sweet_cherry_CRS_phenotyping_2010"
"194","FR3T022","Prunus avium","12.4","Sweet_cherry_CRS_phenotyping_2011"
