"#","Germplasm","Species","Harvest_Date","Dataset"
"447","FR33T004","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"448","FR33T005","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"449","FR33T005","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"450","FR33T006","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"451","FR33T006","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"452","FR33T007","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"453","FR33T008","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"454","FR33T008","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"455","FR33T011","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"456","FR35T101","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"457","FR35T101","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"458","FR35T102","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"459","FR35T102","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"460","FR35T103","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"461","FR35T103","Prunus avium","7/5/2011","Sweet_cherry_CRS_phenotyping_2011"
"462","FR35T104","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"463","FR35T104","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"464","FR35T105","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"465","FR35T105","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"466","FR35T110","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"467","FR35T110","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"468","FR38T001","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"469","FR38T002","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"470","FR38T003","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"471","FR38T005","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"472","FR3T002","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"473","FR3T002","Prunus avium","7/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"474","FR3T002","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"475","FR3T003","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"476","FR3T003","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"477","FR3T004","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"478","FR3T004","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"479","FR3T004","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"480","FR3T005","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"481","FR3T005","Prunus avium","7/18/2012","Sweet_cherry_CRS_phenotyping_2012"
"482","FR3T011","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"483","FR3T014","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"484","FR3T014","Prunus avium","7/8/2010","Sweet_cherry_CRS_phenotyping_2010"
"485","FR3T014","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"486","FR3T015","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"487","FR3T015","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"488","FR3T016","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"489","FR3T016","Prunus avium","7/7/2010","Sweet_cherry_CRS_phenotyping_2010"
"490","FR3T016","Prunus avium","7/7/2011","Sweet_cherry_CRS_phenotyping_2011"
"491","FR3T017","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"492","FR3T018","Prunus avium","6/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"493","FR3T018","Prunus avium","6/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"494","FR3T019","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"495","FR3T020","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"496","FR3T020","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"497","FR3T020","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"498","FR3T021","Prunus avium","7/10/2010","Sweet_cherry_CRS_phenotyping_2010"
"499","FR3T021","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"500","FR3T021","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"501","FR3T022","Prunus avium","7/11/2011","Sweet_cherry_CRS_phenotyping_2011"
"502","FR3T022","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"503","FR3T023","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"504","FR3T023","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"505","FR3T025","Prunus avium","7/4/2010","Sweet_cherry_CRS_phenotyping_2010"
"506","FR3T025","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"507","FR3T025","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"508","FR3T026","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"509","FR3T027","Prunus avium","6/28/2012","Sweet_cherry_CRS_phenotyping_2012"
"510","FR3T027","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"511","FR3T028","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"512","FR3T029","Prunus avium","7/6/2010","Sweet_cherry_CRS_phenotyping_2010"
"513","FR3T029","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"514","FR3T029","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"515","FR3T030","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"516","FR3T030","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"517","FR3T032","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"518","FR3T032","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"519","FR3T034","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"520","FR3T034","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"521","FR3T043","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"522","FR3T043","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"523","FR3T044","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"524","FR3T044","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"525","FR3T050","Prunus avium","7/3/2010","Sweet_cherry_CRS_phenotyping_2010"
"526","FR3T050","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"527","FR3T056","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"528","FR3T056","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"529","FR3T056","Prunus avium","6/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"530","FR3T057","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"531","FR3T057","Prunus avium","6/26/2010","Sweet_cherry_CRS_phenotyping_2010"
"532","FR3T057","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"533","FR3T058","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"534","FR3T058","Prunus avium","7/6/2011","Sweet_cherry_CRS_phenotyping_2011"
"535","FR42T001","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"536","FR42T003","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"537","FR42T005","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"538","FR42T007","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"539","FR42T045","Prunus avium","6/26/2012","Sweet_cherry_CRS_phenotyping_2012"
"540","FR42T048","Prunus avium","6/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"541","FR42T048","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"542","FR47T058","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"543","FR47T059","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"544","FR5T019","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"545","FR5T019","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"546","FR5T021","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"547","FR5T021","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"548","FR5T025","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"549","FR5T025","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"550","FR8T002","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"551","FR8T002","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"552","FR8T004","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"553","FR8T005","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"554","FR8T006","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"555","FR8T007","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"556","FR8T010","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"557","FR8T011","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"558","FR8T011","Prunus avium","7/1/2011","Sweet_cherry_CRS_phenotyping_2011"
"559","FR8T047","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"560","FR8T053","Prunus avium","7/6/2012","Sweet_cherry_CRS_phenotyping_2012"
"561","FR9T031","Prunus avium","7/10/2012","Sweet_cherry_CRS_phenotyping_2012"
"562","FR9T031","Prunus avium","7/11/2010","Sweet_cherry_CRS_phenotyping_2010"
"563","FR9T033","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"564","FR9T033","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"565","FR9T034","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"566","FR9T034","Prunus avium","6/28/2011","Sweet_cherry_CRS_phenotyping_2011"
"567","FR9T081","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"568","FR9T081","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"569","FR9T085","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"570","FR9T085","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"571","FR9T086","Prunus avium","6/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"572","FR9T086","Prunus avium","6/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"573","FR9T087","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"574","FR9T087","Prunus avium","6/27/2011","Sweet_cherry_CRS_phenotyping_2011"
"575","FR9T096","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"576","FR9T097","Prunus avium","6/20/2012","Sweet_cherry_CRS_phenotyping_2012"
"577","PC 9816-005","Prunus avium","6/30/2010","Sweet_cherry_CRS_phenotyping_2010"
"578","PC 9816-023","Prunus avium","6/27/2010","Sweet_cherry_CRS_phenotyping_2010"
"579","PC 9816-041","Prunus avium","6/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"580","PC 9816-059","Prunus avium","7/4/2010","Sweet_cherry_CRS_phenotyping_2010"
"581","PC 9816-083","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"582","PC 9816-103","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"583","PC 9816-105","Prunus avium","7/4/2010","Sweet_cherry_CRS_phenotyping_2010"
"584","PC 9816-106","Prunus avium","7/4/2010","Sweet_cherry_CRS_phenotyping_2010"
"585","PC 9816-078","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"586","PC 9819-005","Prunus avium","6/28/2010","Sweet_cherry_CRS_phenotyping_2010"
"587","PC 9819-038","Prunus avium","6/26/2010","Sweet_cherry_CRS_phenotyping_2010"
"588","PC 9814-025","Prunus avium","6/29/2010","Sweet_cherry_CRS_phenotyping_2010"
"589","PC 9814-103","Prunus avium","7/2/2010","Sweet_cherry_CRS_phenotyping_2010"
"590","PC 9814-105","Prunus avium","7/2/2010","Sweet_cherry_CRS_phenotyping_2010"
"591","PC 9814-028","Prunus avium","7/2/2010","Sweet_cherry_CRS_phenotyping_2010"
"592","PC 9814-062","Prunus avium","6/30/2010","Sweet_cherry_CRS_phenotyping_2010"
"593","PC 9814-063","Prunus avium","7/4/2010","Sweet_cherry_CRS_phenotyping_2010"
"594","PC 9814-071","Prunus avium","6/30/2010","Sweet_cherry_CRS_phenotyping_2010"
"595","PC 9814-076","Prunus avium","7/1/2010","Sweet_cherry_CRS_phenotyping_2010"
"596","PC 9819-034","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"597","Unk10-Sdlg","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"598","Unk10-Sdlg","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"599","Unk12-Sdlg","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"600","Unk14-Sdlg","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"601","Unk14-Sdlg","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"602","Unk15-Sdlg","Prunus avium","6/23/2010","Sweet_cherry_CRS_phenotyping_2010"
"603","Unk15-Sdlg","Prunus avium","6/23/2012","Sweet_cherry_CRS_phenotyping_2012"
"604","Unk15-Sdlg","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"605","Unk16-Sdlg","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"606","Unk16-Sdlg","Prunus avium","7/17/2011","Sweet_cherry_CRS_phenotyping_2011"
"607","Unk17-Sdlg","Prunus avium","7/5/2010","Sweet_cherry_CRS_phenotyping_2010"
"608","Unk1-Sdlg","Prunus avium","6/27/2012","Sweet_cherry_CRS_phenotyping_2012"
"609","Unk20-Sdlg","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"610","Unk22-Sdlg","Prunus avium","7/1/2012","Sweet_cherry_CRS_phenotyping_2012"
"611","Unk23-Sdlg","Prunus avium","7/9/2012","Sweet_cherry_CRS_phenotyping_2012"
"612","Unk25-Sdlg","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"613","Unk25-Sdlg","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"614","Unk6-Sdlg","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"615","Unk9-Sdlg","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"616","Emperor Francis","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"617","Black Republican","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"618","Krupnoplodnaya","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"619","Venus","Prunus avium","6/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"620","Venus","Prunus avium","6/22/2012","Sweet_cherry_CRS_phenotyping_2012"
"621","Moreau","Prunus avium","6/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"622","Moreau","Prunus avium","6/23/2011","Sweet_cherry_CRS_phenotyping_2011"
"623","Index","Prunus avium","6/24/2011","Sweet_cherry_CRS_phenotyping_2011"
"624","Index","Prunus avium","6/25/2010","Sweet_cherry_CRS_phenotyping_2010"
"625","Index","Prunus avium","6/25/2012","Sweet_cherry_CRS_phenotyping_2012"
"626","Sunburst","Prunus avium","7/2/2011","Sweet_cherry_CRS_phenotyping_2011"
"627","Sunburst","Prunus avium","7/5/2012","Sweet_cherry_CRS_phenotyping_2012"
