"#","Germplasm","Species","Harvest_Date","Dataset"
"235","FR18T019","Prunus avium","7/8/2011","Sweet_cherry_CRS_phenotyping_2011"
"236","FR18T020","Prunus avium","7/3/2012","Sweet_cherry_CRS_phenotyping_2012"
"237","FR18T041","Prunus avium","7/9/2011","Sweet_cherry_CRS_phenotyping_2011"
"238","FR18T042","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"239","FR18T044","Prunus avium","6/30/2011","Sweet_cherry_CRS_phenotyping_2011"
"240","FR18T044","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"241","FR18T045","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"242","FR18T048","Prunus avium","6/29/2011","Sweet_cherry_CRS_phenotyping_2011"
"243","FR18T048","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"244","FR18T052","Prunus avium","7/2/2012","Sweet_cherry_CRS_phenotyping_2012"
"245","FR18T071","Prunus avium","6/21/2012","Sweet_cherry_CRS_phenotyping_2012"
"246","FR18T071","Prunus avium","6/26/2011","Sweet_cherry_CRS_phenotyping_2011"
"247","FR1T027","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"248","FR1T027","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"249","FR1T028","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"250","FR1T028","Prunus avium","7/22/2011","Sweet_cherry_CRS_phenotyping_2011"
"251","FR1T029","Prunus avium","7/13/2010","Sweet_cherry_CRS_phenotyping_2010"
"252","FR1T029","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"253","FR1T029","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"254","FR1T030","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"255","FR1T030","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"256","FR1T030","Prunus avium","7/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"257","FR1T031","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"258","FR1T031","Prunus avium","7/12/2010","Sweet_cherry_CRS_phenotyping_2010"
"259","FR1T031","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"260","FR1T032","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"261","FR1T032","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"262","FR1T032","Prunus avium","7/14/2011","Sweet_cherry_CRS_phenotyping_2011"
"263","FR1T033","Prunus avium","7/14/2010","Sweet_cherry_CRS_phenotyping_2010"
"264","FR1T033","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"265","FR1T033","Prunus avium","7/20/2011","Sweet_cherry_CRS_phenotyping_2011"
"266","FR1T037","Prunus avium","7/11/2012","Sweet_cherry_CRS_phenotyping_2012"
"267","FR1T037","Prunus avium","7/18/2011","Sweet_cherry_CRS_phenotyping_2011"
"268","FR1T037","Prunus avium","7/19/2010","Sweet_cherry_CRS_phenotyping_2010"
"269","FR1T038","Prunus avium","7/16/2012","Sweet_cherry_CRS_phenotyping_2012"
"270","FR1T038","Prunus avium","7/19/2010","Sweet_cherry_CRS_phenotyping_2010"
